Sample	Library	ReadGroup	LibType	Platform	SequencingCenter	Date	Lane	Unit	Flavor	Encoding	Run	Genome	NucleicAcid	Group	Location	Seqfile1
WT01	WT01	BK-AA-1_S11_L007_R355	RF	Illumina	GCF	2018-11-07	7	K00242	1x50	33	355	hg38	rnaseq	WT	CRI-BIO-646/data/180216_K00242_0355_AHT7NTBBXX-RKeenan-AA-RS10/FastQ	BK-AA-1_S11_L007_R1_001.fastq.gz
WT02	WT02	BK-AA-2_S12_L007_R355	RF	Illumina	GCF	2018-11-07	7	K00242	1x50	33	355	hg38	rnaseq	WT	CRI-BIO-646/data/180216_K00242_0355_AHT7NTBBXX-RKeenan-AA-RS10/FastQ	BK-AA-2_S12_L007_R1_001.fastq.gz
WT03	WT03	BK-AA-3_S13_L007_R355	RF	Illumina	GCF	2018-11-07	7	K00242	1x50	33	355	hg38	rnaseq	WT	CRI-BIO-646/data/180216_K00242_0355_AHT7NTBBXX-RKeenan-AA-RS10/FastQ	BK-AA-3_S13_L007_R1_001.fastq.gz
KO01	KO01	BK-AA-4_S14_L007_R355	RF	Illumina	GCF	2018-11-07	7	K00242	1x50	33	355	hg38	rnaseq	KO	CRI-BIO-646/data/180216_K00242_0355_AHT7NTBBXX-RKeenan-AA-RS10/FastQ	BK-AA-4_S14_L007_R1_001.fastq.gz
KO02	KO02	BK-AA-5_S15_L007_R355	RF	Illumina	GCF	2018-11-07	7	K00242	1x50	33	355	hg38	rnaseq	KO	CRI-BIO-646/data/180216_K00242_0355_AHT7NTBBXX-RKeenan-AA-RS10/FastQ	BK-AA-5_S15_L007_R1_001.fastq.gz
KO03	KO03	BK-AA-6_S16_L007_R355	RF	Illumina	GCF	2018-11-07	7	K00242	1x50	33	355	hg38	rnaseq	KO	CRI-BIO-646/data/180216_K00242_0355_AHT7NTBBXX-RKeenan-AA-RS10/FastQ	BK-AA-6_S16_L007_R1_001.fastq.gz
WT01	WT01	BK-AA-1_S11_L007_R357	RF	Illumina	GCF	2018-11-07	7	K00242	1x50	33	357	hg38	rnaseq	WT	CRI-BIO-646/data/180223_K00242_0357_AHT37VBBXX-RKeenan-AA-RS10/FastQ	BK-AA-1_S11_L007_R1_001.fastq.gz
WT02	WT02	BK-AA-2_S12_L007_R357	RF	Illumina	GCF	2018-11-07	7	K00242	1x50	33	357	hg38	rnaseq	WT	CRI-BIO-646/data/180223_K00242_0357_AHT37VBBXX-RKeenan-AA-RS10/FastQ	BK-AA-2_S12_L007_R1_001.fastq.gz
WT03	WT03	BK-AA-3_S13_L007_R357	RF	Illumina	GCF	2018-11-07	7	K00242	1x50	33	357	hg38	rnaseq	WT	CRI-BIO-646/data/180223_K00242_0357_AHT37VBBXX-RKeenan-AA-RS10/FastQ	BK-AA-3_S13_L007_R1_001.fastq.gz
KO01	KO01	BK-AA-4_S14_L007_R357	RF	Illumina	GCF	2018-11-07	7	K00242	1x50	33	357	hg38	rnaseq	KO	CRI-BIO-646/data/180223_K00242_0357_AHT37VBBXX-RKeenan-AA-RS10/FastQ	BK-AA-4_S14_L007_R1_001.fastq.gz
KO02	KO02	BK-AA-5_S15_L007_R357	RF	Illumina	GCF	2018-11-07	7	K00242	1x50	33	357	hg38	rnaseq	KO	CRI-BIO-646/data/180223_K00242_0357_AHT37VBBXX-RKeenan-AA-RS10/FastQ	BK-AA-5_S15_L007_R1_001.fastq.gz
KO03	KO03	BK-AA-6_S16_L007_R357	RF	Illumina	GCF	2018-11-07	7	K00242	1x50	33	357	hg38	rnaseq	KO	CRI-BIO-646/data/180223_K00242_0357_AHT37VBBXX-RKeenan-AA-RS10/FastQ	BK-AA-6_S16_L007_R1_001.fastq.gz
